year,month,date_of_month,day_of_week,births
2005,3,9,3,12700
2005,3,10,4,12920
2005,3,11,5,12777
2005,3,12,6,8511
2005,3,13,7,7239
2005,3,14,1,12086
2005,3,15,2,13144
2005,3,16,3,12718
2005,3,17,4,13118
2005,3,18,5,12690
2005,3,19,6,8557
2005,3,20,7,7454
2005,3,21,1,12108
2005,3,22,2,13386
2005,3,23,3,12910
2005,3,24,4,12912
2005,3,25,5,12111
2005,3,26,6,7980
2005,3,27,7,6923
2005,3,28,1,11820
2005,3,29,2,13028
2005,3,30,3,12947
2005,3,31,4,12834
2005,4,1,5,11760
2005,4,2,6,8574
2005,4,3,7,7065
2005,4,4,1,12457
2005,4,5,2,13274
2005,4,6,3,13200
2005,4,7,4,12996
2005,4,8,5,12747
2005,4,9,6,8355
2005,4,10,7,7443
2005,4,11,1,12143
2005,4,12,2,13146
2005,4,13,3,12452
2005,4,14,4,12976
2005,4,15,5,13063
2005,4,16,6,8291
2005,4,17,7,7214
2005,4,18,1,12023
2005,4,19,2,13197
2005,4,20,3,13120
2005,4,21,4,12978
2005,4,22,5,12543
2005,4,23,6,8244
2005,4,24,7,7267
2005,4,25,1,12002
2005,4,26,2,13157
2005,4,27,3,12929
2005,4,28,4,12822
2005,4,29,5,12342
2005,4,30,6,8280
2005,5,1,7,7230
2005,5,2,1,11980
2005,5,3,2,13079
2005,5,4,3,12841
2005,5,5,4,14357
2005,5,6,5,12496
2005,5,7,6,8204
2005,5,8,7,7349
2005,5,9,1,12155
2005,5,10,2,13299
2005,5,11,3,12762
2005,5,12,4,13251
2005,5,13,5,11803
2005,5,14,6,8610
2005,5,15,7,7515
2005,5,16,1,12307
2005,5,17,2,13659
2005,5,18,3,13378
2005,5,19,4,13114
2005,5,20,5,13007
2005,5,21,6,8490
2005,5,22,7,7386
2005,5,23,1,12445
2005,5,24,2,13740
2005,5,25,3,13793
2005,5,26,4,13654
2005,5,27,5,13378
2005,5,28,6,8688
2005,5,29,7,7270
2005,5,30,1,7886
2005,5,31,2,12610
2005,6,1,3,14054
2005,6,2,4,13666
2005,6,3,5,13483
2005,6,4,6,8686
2005,6,5,7,7791
2005,6,6,1,12363
2005,6,7,2,13481
2005,6,8,3,13138
2005,6,9,4,13422
2005,6,10,5,13230
2005,6,11,6,8621
2005,6,12,7,7487
2005,6,13,1,11843
2005,6,14,2,13815
2005,6,15,3,13261
2005,6,16,4,13033
2005,6,17,5,12821
2005,6,18,6,8573
2005,6,19,7,7522
2005,6,20,1,12332
2005,6,21,2,13439
2005,6,22,3,13342
2005,6,23,4,13458
2005,6,24,5,13032
2005,6,25,6,8737
2005,6,26,7,7603
2005,6,27,1,12488
2005,6,28,2,13813
2005,6,29,3,14039
2005,6,30,4,14003
2005,7,1,5,13759
2005,7,2,6,8862
2005,7,3,7,7668
2005,7,4,1,7733
2005,7,5,2,12847
2005,7,6,3,14562
2005,7,7,4,14627
2005,7,8,5,14136
2005,7,9,6,9189
2005,7,10,7,7829
2005,7,11,1,12626
2005,7,12,2,13884
2005,7,13,3,13431
2005,7,14,4,14038
2005,7,15,5,13685
2005,7,16,6,9036
2005,7,17,7,7793
2005,7,18,1,12698
2005,7,19,2,13791
2005,7,20,3,13603
2005,7,21,4,13870
2005,7,22,5,13390
2005,7,23,6,8916
2005,7,24,7,7762
2005,7,25,1,12651
2005,7,26,2,13671
2005,7,27,3,13528
2005,7,28,4,13621
2005,7,29,5,13260
2005,7,30,6,8987
2005,7,31,7,7743
2005,8,1,1,12415
2005,8,2,2,13730
2005,8,3,3,13350
2005,8,4,4,13511
2005,8,5,5,13413
2005,8,6,6,8820
2005,8,7,7,7662
2005,8,8,1,12553
2005,8,9,2,13893
2005,8,10,3,13593
2005,8,11,4,14011
2005,8,12,5,13610
2005,8,13,6,9049
2005,8,14,7,7867
2005,8,15,1,12740
2005,8,16,2,13998
2005,8,17,3,13801
2005,8,18,4,14009
2005,8,19,5,13365
2005,8,20,6,9118
2005,8,21,7,7776
2005,8,22,1,12487
2005,8,23,2,13739
2005,8,24,3,13569
2005,8,25,4,13824
2005,8,26,5,13327
2005,8,27,6,8952
2005,8,28,7,7743
2005,8,29,1,12711
2005,8,30,2,13933
2005,8,31,3,13898
2005,9,1,4,14160
2005,9,2,5,13904
2005,9,3,6,9128
2005,9,4,7,7931
2005,9,5,1,8116
2005,9,6,2,13124
2005,9,7,3,14744
2005,9,8,4,14740
2005,9,9,5,14505
2005,9,10,6,9565
2005,9,11,7,8041
2005,9,12,1,13189
2005,9,13,2,13951
2005,9,14,3,14160
2005,9,15,4,14263
2005,9,16,5,14189
2005,9,17,6,9459
2005,9,18,7,8262
2005,9,19,1,13460
2005,9,20,2,14590
2005,9,21,3,14203
2005,9,22,4,13973
2005,9,23,5,13776
2005,9,24,6,9207
2005,9,25,7,8028
2005,9,26,1,12952
2005,9,27,2,13955
2005,9,28,3,13785
2005,9,29,4,13540
2005,9,30,5,13454
2005,10,1,6,8820
2005,10,2,7,7841
2005,10,3,1,12816
2005,10,4,2,13449
2005,10,5,3,13488
2005,10,6,4,13552
2005,10,7,5,13056
2005,10,8,6,8846
2005,10,9,7,7508
2005,10,10,1,12298
2005,10,11,2,13256
2005,10,12,3,13191
2005,10,13,4,12922
2005,10,14,5,13087
2005,10,15,6,8733
2005,10,16,7,7432
2005,10,17,1,12230
2005,10,18,2,13442
2005,10,19,3,12932
2005,10,20,4,13267
2005,10,21,5,12828
2005,10,22,6,8568
2005,10,23,7,7371
2005,10,24,1,12012
2005,10,25,2,13351
2005,10,26,3,12798
2005,10,27,4,13273
2005,10,28,5,12619
2005,10,29,6,8509
2005,10,30,7,7459
2005,10,31,1,10207
2005,11,1,2,13682
2005,11,2,3,13275
2005,11,3,4,13284
2005,11,4,5,12928
2005,11,5,6,8675
2005,11,6,7,7565
2005,11,7,1,12176
2005,11,8,2,13678
2005,11,9,3,13208
2005,11,10,4,13227
2005,11,11,5,12584
2005,11,12,6,8333
2005,11,13,7,7420
2005,11,14,1,12164
2005,11,15,2,13549
2005,11,16,3,13113
2005,11,17,4,13280
2005,11,18,5,13153
2005,11,19,6,8481
2005,11,20,7,7594
2005,11,21,1,13399
2005,11,22,2,14175
2005,11,23,3,12202
2005,11,24,4,7267
2005,11,25,5,9090
2005,11,26,6,7848
2005,11,27,7,7197
2005,11,28,1,12716
2005,11,29,2,13743
2005,11,30,3,13176
2005,12,1,4,13210
2005,12,2,5,12599
2005,12,3,6,8241
2005,12,4,7,7297
2005,12,5,1,12106
2005,12,6,2,13249
2005,12,7,3,13017
2005,12,8,4,13048
2005,12,9,5,12391
2005,12,10,6,8401
2005,12,11,7,7368
2005,12,12,1,12494
2005,12,13,2,13323
2005,12,14,3,13768
2005,12,15,4,13586
2005,12,16,5,13320
2005,12,17,6,8701
2005,12,18,7,7617
2005,12,19,1,13410
2005,12,20,2,14659
2005,12,21,3,14159
2005,12,22,4,12877
2005,12,23,5,10642
2005,12,24,6,7256
2005,12,25,7,6224
2005,12,26,1,8505
2005,12,27,2,13056
2005,12,28,3,14381
2005,12,29,4,13972
2005,12,30,5,13208
2005,12,31,6,8635
